id,level,sector,filiere,degree
46C2270AR,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien de maintenance en équipements de génie climatique (TH)
46C2300AW,Niveau 4,"Génie civil, construction, bois","Spécialités pluri-technologiques, génie civile, construction, bois",Conseiller en vente de cuisines et salles de bain (TH)
46C23201M,Niveau 4,"Génie civil, construction, bois",Bâtiment : construction et couverture,Technicien bâtiment basse consommation BBD (CCI DROME)
46C2330AS,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Technicien en acoustique du bâtiment (TH)
46C2500AR,Niveau 4,"Mécanique, électricité, électronique",Spécialités pluri-technologiques mécanique-électricité (y compris maintenance mécanique-électricité),Technicien de maintenance des ascenseurs (TH)
46C2520AW,Niveau 4,"Mécanique, électricité, électronique",Moteurs et mécanique auto,Conseiller commercial automobile (CQP) (TH)
46C25501S,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Technicien réseaux et service très haut débit (CCIT de la Manche)
46C3120BT,Niveau 4,Echanges et gestion,"Commerce, vente",Conseiller de vente ACFC (Titre Professionnel Niv 4)
46C3120CT,Niveau 4,Echanges et gestion,"Commerce, vente",Vendeur-conseil en unite commerciale (TITRE PRO Niveau 4 - ACFCI) 
46E2270AW,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Vendeur conseil en chauffage sanitaire et climatisation (TE)
46I02000,Niveau 4,Communication et information,"Secrétariat, bureautique",Secrétariat bureautique multimédia (TP NIV 4)
46J3350AT,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Brevet d'état d'éducateur sportif 1er degré toute option (BEES 1)
46J3350BT,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Educateur sportif 1er degré option : activités physiques BEESAPT(BEES - brevet d'état)
46J3350GT,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Animateur technicien spé activités sociales et vie locale (BEATEP - brevet d'état)
46J3350HT,Niveau 4,Services aux personnes,"Animation culturelle, sportive et de loisirs",Brevet professionnel de la jeunesse de l'éducation populaire et du sport toutes spécialités (BPJEPS)
46M22101S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Pâtissier (BTM)
46M22103S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Chocolatier confiseur (BTM)
46M22104S,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Pâtissier confiseur glacier traiteur (BTM)
46M32301T,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Photographe (BTM)
46M33101S,Niveau 4,Services aux personnes,Santé,Prothésiste dentaire (BTM)
46N2550BR,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Maintenicien en micro informatique et réseaux (TITRE PRO Niv 4 - IGS)
46N32201T,Niveau 4,Communication et information,Techniques de l'imprimerie et de l'édition,Maquettiste inforgraphiste multimédia (TITRE PRO Niv 4 )
46Q25501S,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",OPERATEUR TRAVAUX SIGNALISATION ELECTRIQUE FERROVIAIRE (SNCF)
46Q31101U,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",Conducteur de train (SNCF)
46Q31102R,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",OPERATEUR DE CIRCULATION FERROVIAIRE (SNCF)
46Q31103T,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",AGENT D'ESCALE FERROVIAIRE (SNCF)
46R3240AP,Niveau 4,Communication et information,"Secrétariat, bureautique",Technicien d'appui en informatique de gestion - technicien d'assistance en gestion informatique (TH)
46R3340AT,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Technicien d'accueil et de vente de services touristiques (TP)
46T20101R,Niveau 4,Spécialités pluritechniques de la production,"Techno. de commandes des transformations industrielles (automatismes et robotique industriels,informatique industrielle)",Technicien de maintenance industrielle (TITRE PRO Niv 4)
46T31201T,Niveau 4,Echanges et gestion,"Commerce, vente",Conseiller service client à distance (TP)
46T32001T,Niveau 4,Communication et information,Spécialités plurivalentes de la communication,Conseiller et assistant en technologies de l'information et de la communication (TP NIVIV)
46T33402W,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Conseillers en séjours et voyages (TP)
46T33403T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Technicien d'accueil touristique option : accompagnement (TP)
46T33404T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Réceptionniste en Hôtellerie (Titre Professionnel)
46X13301G,Niveau 4,Lettres et arts,"Musique, arts du spectacle",Artiste danseur (TITRE PRO Niv 4)
46X25501W,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Vendeur de l'électrodomestique et du multimédia (FODIPEG) 
46X25502M,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Conseiller services en électrodomestique et multimédia (FODIPEG TP NIV IV)
46X2550AR,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Technicien services en électrodomestique de FODIPEG (TP)
46X2550BR,Niveau 4,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Vendeur de l'électronique grand public (TP)
46X31101M,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",Technicien aeronautique d'exploitation (ENAC)
46X32301T,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Assistant son en post production et studio d'enregistrement (INFA)
46X32302T,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Technicien du spectacle vivant options : lumières son ou machinerie (staff)
46X32303T,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Technicien d'événements culturels (IGTS)
46X32304T,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Technicien du spectacle (ADAMS)
50020101U,Niveau 5,Spécialités pluritechniques de la production,"Techno. de commandes des transformations industrielles (automatismes et robotique industriels,informatique industrielle)",Conducteur d'Installations de Production (CAP)
50022004U,Niveau 5,Transformation,Spécialités pluri-technologiques des transformations,Opérateur des industries du recyclage (CAP)
50022109S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Glacier fabricant (CAP)
50022113S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Chocolatier confiseur (CAP)
50022118T,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Préparateur en produits carnes (CAP)
50022122S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Agent technique de l'alimentation (CAP)
50022124S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine","Pâtissier, glacier, chocolatier, confiseur (CAP)"
50022129M,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Agent polyvalent de restauration (CAP)
50022130S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Charcutier-traiteur (CAP)
50022131T,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Cuisine (CAP)
50022132S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulanger (CAP)
50022133S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Chocolatier confiseur (CAP)
